original,paraphrase
Priprave na novo valuto se bodo po pričakovanjih začele sredi leta 2006,Priprave na novo valuto naj bi se začele sredi leta 2006.
"Osmič, kot predstavnik slovenske Bodybuilding in fitness zveze pravite, da je dopingiranje v Sloveniji omejeno na posameznike. Vaš kolega, predsednik hrvaške zveze Predrag Gađa, se je do pojava, da v hrvaških fitness klubih prodajajo prepovedane substance, opredelil drugače. Pojav priznava in ga ne odobrava. Se razmere v Sloveniji in na Hrvaškem tako zelo razlikujejo? Glede na to, da sta dva tako osrednja medija, kot sta Globus in Dnevnik, skoraj v istem času objavila podobna članka, temu težko verjamem.","Osmič, kot predstavnik Slovenske Bodybuilding and Fitness zveze, pravite, da je doping v Sloveniji omejen na posameznike. Vaš kolega, predsednik Hrvaškega združenja Predrag Gađa, je pojav prepovedanih substanc v hrvaških fitnes klubih opredelil drugače. Pojav priznava in ga ne odobrava. Ali se razmere v Sloveniji in na Hrvaškem tako razlikujejo? Glede na to, da sta dva takšna osrednja medija, kot sta Globus in Dnevnik, skoraj istočasno objavila podobne članke, je težko verjeti."
"Meščani in meščanke Ljubljane imamo vso pravico, da na tovrstne dileme zahtevamo jasne odgovore. Še več: če bomo ostali brez njih in na naslednjih volitvah vseeno glasovali za LDS in ZLSD, se bomo morali resno povprašati po lastnem mentalnem zdravju, saj bomo s tem podprli stranki, ki sta dopustili, da naš denar obračajo ljudje, ki se očitno požvižgajo na odgovorno in vestno poslovanje.","Še več: če ostanemo brez njih in na naslednjih volitvah glasujemo za LDS in ZLSD, se bomo morali resno vprašati o svojem duševnem zdravju, saj bo to podprlo stranke, ki so dopustile, da naš denar porabijo ljudje, ki jim očitno ni mar za odgovorno in vestno poslovanje."
"Nekateri hrvaški mediji pa ugibajo, ali se ne bo Hrvoje Šarenić morda znašel tudi med osumljenci. Nekatera vprašanja v zvezi s hrvaškima osvobodilnima akcijama Blisk in Nevihta namreč kažejo tudi na to. Pred kratkim je podpredsednik hrvaškega parlamenta Zdravko Tomac povedal, da v Haagu mrzlično iščejo dokaze proti nekdanjim hrvaškim premierom. Po njegovem prepričanju želijo ustvariti nekakšno ravnovesje, potem ko so na zatožno klop že spravili Miloševića in Milutinovića. Pred Ivico Raćanom je imela hrvaška vlada šest predsednikov vlad. To so bili Stipe Mesić, Josip Manolić, Franjo Gregorić, Hrvoje Šarenić, Nikica Valentić in Zlatko Mateša. Stipe Mesić je v Haagu že pričal na procesu proti nekdanjemu vukovarskemu županu Slavku Dokmanoviću, pred kratkim pa tudi na procesu proti Slobodanu Miloševiću. Haaški preiskovalci so kot osumljence že zaslišali nekaj hrvaških generalov. Postopek proti Petru Stipetiću so ustavili. Svoje so jim povedali generali Davor Domazet, Ivan Korade in Mladen Mrkać. Obtožnice so bile vložene proti generalom Anteju Gotovini, Rahimu Ademiju in Janku Bobetku. Toda s tem še ni končan seznam ljudi iz hrvaškega političnega in vojaškega vrha, za katere se zanima haaško tožilstvo","Nekateri hrvaški mediji pa ugibajo, ali bi se med osumljenci lahko znašel tudi Hrvoje Šarenić. Na to opozarjajo tudi nekatera vprašanja, povezana s hrvaškima osvobodilnima kampanjama Blisk in Storm. Pred kratkim je podpredsednik hrvaškega parlamenta Zdravko Tomac dejal, da Haag nujno išče dokaze proti nekdanjim hrvaškim premierjem. Po njegovem mnenju želijo ustvariti nekakšno ravnovesje, potem ko sta Milošević in Milutinović že bila na klopi. Pred Ivico Raćan je hrvaška vlada imela šest predsednikov vlad. To so bili Stipe Mesić, Josip Manolić, Franjo Gregorić, Hrvoje Šarenić, Nikica Valentić in Zlatko Mateša. Stipe Mesić je že pričal na sojenju proti nekdanjemu vukovarskemu županu Slavku Dokmanoviću v Haagu, pred kratkim pa tudi na sojenju proti Slobodanu Miloševiću. Haaški preiskovalci so že zaslišali nekatere hrvaške generale kot osumljence. Postopek proti Petru Stipetiću je bil ustavljen. Generali Davor Domazet, Ivan Korade in Ante Mladen Mrkać so jim povedali svoje. Obtožbe so bile vložene proti Toda seznam ljudi iz hrvaškega političnega in vojaškega vodstva, ki se zanimajo za haaško tožilstvo, še ni končan."
Obramba pred nadaljnjimi grožnjami,Zaščita pred nadaljnjimi grožnjami
"Zdaj velja takšna razporeditev korpusa za zastarelo, predvsem zaradi sprememb v ameriško-ruskih razmerjih in širjenja zavezništva na vzhod, pa tudi za neprimerno in nepotrebno. Politične logistične težave z njegovim premikom na Bližnji vzhod so ameriške vojaške načrtovalce znova prepričale, da je njegov sedanji položaj povsem neprimeren. Zapora železniških prog v Italiji bi utegnila resno ovirati premike vojaške opreme iz Nemčije in drugih zahodnoevropskih vojašnic na Bližnji vzhod, toda italijanski mirovniki so nastopili šele, ko je bil prevoz glavnine vojaške opreme že končan. Zdaj pa so se začeli oglašati še mirovniki v drugih državah, skozi katere utegnejo Američani na prihodnje vojno območje poslati dodatno opremo.","To se zdaj šteje za zastarelo, predvsem zaradi sprememb v ameriško-ruskih odnosih in širitve zavezništva na vzhod, vendar tudi neprimerno in nepotrebno .Politične logistične težave s selitvijo korpusa na Bližnji vzhod so ponovno prepričale ameriške vojaške načrtovalce, da je trenutna situacija povsem neprimerna. Zaprtje železniških prog v Italiji bi lahko resno oviralo premikanje vojaške opreme iz Nemčije in drugih zahodnoevropskih vojašnic na Bližnji vzhod, vendar so se italijanske mirovne sile zgodile šele, ko je bil končan prevoz večine vojaške opreme."
PRILAGAJANJE NOVIM RAZMERAM,Prilagajanje na nove pogoje
"Med februarskimi podražitvami pa je treba omeniti zlasti rast cen v skupini hrana in brezalkoholne pijače (ti izdelki imajo v košarici življenjskih potrebščin 20,7-odstotni delež), in sicer za 1,6 odstotka; to je povzročilo 0,35-odstotni prispevek k februarski inflaciji.","Med povišanji cen v februarju je posebej pomembno omeniti rast cen v skupini hrana in brezalkoholne pijače (ti proizvodi imajo 20,7-odstotni delež v potrošniški košarici, za 1,6%), kar je povzročilo 0,35-odstotni prispevek k inflaciji v februarju."
"PIRAN Županja Vojka Štular je pripravljena storiti vse, da bi obdržala Turistico v svoji občini, saj so začele krožiti govorice o tem, da se bo ta preselila v Izolo. V četrtek je pisala ministru za šolstvo, znanost in šport dr. Slavku Gabru in dekanu Turistice dr. Milanu Ambrožu, v pismu pa za gradnjo nove Turistice ponuja občinsko zemljišče v neposredni bližini turističnega kompleksa Marine Portorož. Občina se je, piše županja, pripravljena odpovedati komunalnemu prispevku in sofinancirati dokumentacijo za začetek gradnje. Že kmalu po ustanovitvi Turistice Visoke šole za turizem Portorož leta 1995 so študentom in profesorjem najeti prostori v Vili Marii sredi Portoroža postali pretesni, pa tudi letna najemnina več kot 30 milijonov tolarjev, ki jo plačujejo portoroškemu Casinoju, se jim zdi previsoka. Denar bi raje vložili v gradnjo nove šole, pri iskanju ustrezne lokacije pa se že več let zatika.","Piranski župan Vojko Štular je pripravljen storiti vse, da Turistico obdrži v svoji občini, saj so začele krožiti govorice, da se bo Turistica preselila v Izolo. V četrtek je pisala ministru za izobraževanje, znanost in šport, dr. Slavku Gabruju in dekanu Turistice Milanu Ambrožu. V pismu o gradnji nove Turistice, Turistica ponuja občinsko zemljišče v neposredni bližini kompleksa Marina Portorož. Občina, piše župan, se je pripravljena odreči občinskemu prispevku in sofinancirati dokumentacijo za začetek gradnje. Kmalu po ustanovitvi Visoke šole za turizem Portorož leta 1995 so študentje in profesorji vložili v najem prostore v Vili Marii sredi Portoroža, poleg tega pa bi letno plačali tudi več kot 30 milijonov tolarjev najemnine, vendar bi raje zgradili novo šolo Casino."
ODLOČITEV BO ZNANA KMALU,Odločitev bo znana kmalu
"Vila Maria, v kateri gostuje Turistica, je za 300 študentov že dolgo pretesna. Foto: Dokumentacija Dnevnika","Vila Maria, kjer je nastanjena Turistica, je že dolgo pretežka za 300 študentov."
"Predsednik Mladinskega centra Jesenice Blaž Račič, ki je eden najbolj glasnih predstavnikov civilne družbe na Jesenicah, je povedal, da pri akciji ni sodeloval, da pa podobne dejavnosti podpira. Če se bo Slovenija skupaj z Natom odločila za transport orožja čez Jesenice, sem prepričan, da lahko v hipu zberemo vsaj dvajset prostovoljcev, ki bodo takšen transport fizično preprečili, tudi z zaporo tirnic, je dejal Blaž Račič, ki ga veseli, da se civilna družba na Jesenicah končno prebuja, in je že napovedal podobne akcije, okrogle mize in razprave. (pk) Foto: Primož Knez","Blaž Račič, eden najglasnejših predstavnikov civilne družbe na Jesenicah, je povedal, da v akciji ni sodeloval, da pa podpira podobne aktivnosti. Če se bosta Slovenija in Nato odločila za prevoz orožja preko Jesenic, sem prepričan, da se bo v trenutku zbralo vsaj dvajset prostovoljcev, ki bodo fizično preprečili takšen prevoz, tudi z blokado tirov, je dejal Blaž Račič, ki je zadovoljen, da se je jeseniška civilna družba končno zbudila, in je že napovedal podobne akcije, okrogle mize in pogovore. (pk)"
