original,paraphrase
DOMEN FRAS,O blagovni znamki
"Tom Petty, 1992","Tom Petty, 1992"
»Sedim!«,Saj sem že sedel.
»Me sploh poslušate?«,"""Ali me sploh poslušaš?"""
"»Ker vas ne bo več, za vas dogodek ne bo stresen!« je mirno odgovorila Vedeževalka. »Naslednji, prosim!«","""Ker vas ne bo več, dogodek za vas ne bo stresen,"" je mirno odgovorila vedeževalka."
"Domen Fras se je prebujal kar nekaj dni. Precej zmeden je bil in tudi čaja ni hotel piti. Vedeževalka je budno skrbela zanj, čistila infuzijsko cevko in kateter in celo izbrana dela francoskih simbolistov mu je brala. Ko je po kakem tednu dni prišel k sebi, ga je čakala precejšnja nevšečnost.","Domen Fras je bil več dni buden. Bil je precej zmeden in tudi čaja ni hotel piti. Jasnovidec je zanj dobro skrbel, očistil infuzijsko cevko in kateter ter mu celo prebral izbrana dela francoskih simbolistov. Po približno enem tednu se je soočil s precejšnjimi nevšečnostmi."
»Teden dni?« je zamrmral Domen Fras.,"""teden dni?"" je zamrmral Domen Fras."
"»To je Mož, ki inhalira diskete!« ga je predstavila Vedeževalka. »Moj vrtnar je!«","""To je Mož, ki vdihuje Diskete!"" je predstavil Orakelj."
»A tako!« je zarjula Vedeževalka. »Lahko pa si teden dni užival gostoljubje mojega doma!«,"""Tako!"" je vzkliknilo Orakelj. ""Toda en teden ste lahko uživali v gostoljubnosti mojega doma."""
"»Verjemite, ni bilo nalašč!« je zajavkal Domen Fras. »Saj nisem vedel, kje sem!«","""Verjemite mi, ni bilo namenoma,"" je vzkliknil Domen Fras. ""Nisem vedel, kje sem!"""
"»Z brco bi si le trajno poškodovali stopalo, gospod! Če že niste sposobni, da bi si sami lovili kombinacije, takistoprav pa nočete, da bi v svojem kotu preživel še kakšne prihranke, svetujem, da vlomite!«","""Lahko bi samo trajno poškodovana nogo z kick, gospod Če niste sposobni za lov svoje lastne kombinacije, in ne želite, da bi porabili več prihrankov v vašem kotu, Predlagam, da se odmor v!"""
"»ZINI ŽE, KAJ ČAKAŠ, ZMEDA???!«","""Kaj pa še čakaš, skrivnost?"""
"»Kdo ve, kako dolgo bo to trajalo!«","""Kdo ve, koliko časa bo to trajalo?"""
Domen Fras se je upehan ustavil.,"Domen Fras je ustavil, kolikor je mogel."
"»Joj, kakšno izražanje!« je začudeno dejal Simon. »Vi pa niste od tukaj!«","""Kakšen izraz!"" je na svoje začudenje rekel Simon. ""Niste od tukaj!"""
»Potem niste tako slab človek!«,"""potem pa nisi tako slab človek!"""
"Domen Fras je povedal ime mesta, ki ga v zgodbi zaradi litispendence ne smemo omenjati.","Domen Fras je dal ime mesta, ki ne bi smelo biti omenjeno v zgodbi zaradi lis pendens."
»Čemu pa takšno ime?«,"""Zakaj je to ime?"""
»Oh ne!« je zastokal Domen Fras. »Menda ja ne že spet!«,"""Oh ne,"" je vzkliknil Domen Fras. ""očitno spet ne!"""
»Izmed njih? Nikoli še nisem slišal za avtocestne ...«,"""od njih še nikoli nisem slišal za avtocesto..."""
"UREDI SE POTIHOMA, KER HUDEŽEVNIKA ONSTRAN HODNIKA SPITA!","Ostanite mirni, ker je žrtev zapustila hodnik."
"Kaj pa misli, je bila jezna Zinka. A misli, da bom ropotala po hotelu ali kaj?","Kaj si misli, je bila jezna Zinka, ampak misli, da bom klopotal po hotelu ali kaj podobnega?"
Vratar hotela je takoj priskočil.,hotelski vratar je vstopil.
»Ne!« je kratko odvrnil Domen Fras.,"""Ne!"" je kratko odgovoril Domen Fras."
