,original,paraphrase,transformer
0,"4. Si lahko predstavljate, da bi svoj želodec ogrnili s toplo svetlečo rumeno barvo?",(4) Si lahko predstavljate obdaja vaš želodec s toplo žareče rumene barve?,"<pad> 4. Si lahko predstavljate, da bi svoj želodec ogrnili s toplo svetlečo rumeno barvo?"
1,Zdravljenje z meditacijo in molitvijo,Zdravljenje z meditacijo in molitvijo,<pad> Zdravljenje z meditacijo in molitvijo</s>
2,"3. Obstaja ena ali več molitev, ki bi vam v težavnih situacijah prišle na misel?","(3) Ali obstaja ena ali več molitev, ki pridejo na misel v težkih situacijah?","<pad> 3. Obstaja ena ali več molitev, ki bi vam v težavnih situacijah prišle na misel?</s>"
3,Zdravljenje z glasbo ,Zdravljenje z glasbo,<pad> Zdravljenje z glasbo</s>
4,Praktično ravnanje,Praktično ravnanje,<pad> Praktično ravnanje</s>
5,"- Štejte od 10 do 1, pri tem se sprostite še globlje in globlje ter se spustite po namišljenem stopnišču navzdol. ","štejte od 10 do 1, sprostite se globlje in globlje in se spustite po namišljenem stopnišču.","<pad> - Štejte od 10 do 1, pri tem se sprostite globlje in globlje ter se spustite"
6,"- Počasi štejte od 10 do 1 ter se pri tem še globlje sprostite. Lahko si predstavljate stopnišče, po katerem se spuščate počasi, stopnico za stopnico. Zdaj ste prispeli na še globljo, še bolj sproščeno in še bolj zdravo raven zavesti. Sproščeni ste še bolj kot prej. ","Štejte počasi od 10 do 1 in se sprostite še globlje, kot to počnete. Lahko si predstavljate stopnišče, kjer se spuščate počasi, korak za korakom. Zdaj ste dosegli globlje, bolj sproščeno in še bolj zdravo raven zavesti. Ste bolj sproščeni kot prej.",<pad> - Počasi štejte od 10 do 1 ter se pri tem globlje sprostite. Lahko si predstavljate
7,"Akutne in silovite težave terjajo intenzivno, a kratkotrajno posredovanje samozdravilnih moči, kronične težave pa morate zdraviti redno, zelo potrpežljivo in daljši čas. ","Akutni in nasilni problemi zahtevajo intenzivno, toda kratkotrajno poseganje v samozdravilne sposobnosti, kronični problemi pa zahtevajo redno, potrpežljivo in dolgotrajno zdravljenje.","<pad> Akutne in silovite težave zahtevajo intenzivno, dolgotrajno zdravljenje samozdravilnih moči, kronične"
8,"Preizkušajte opisane zdravilne metode in zdravilna programiranja ter poskušajte ugotoviti, katera od njih vam najbolj ustrezajo. Del telesa ali organ, na katerem bo opravljen operacijski poseg, lahko »obravnavate« že nekaj tednov prej: polagajte nanj roke ali pošiljajte vanj svetlobo in energijo. Izberite glasbo, ki vas sprošča, in si predstavljajte, kako ustvarja v vašem telesu harmonijo. Po mojih izkušnjah se v takšnih primerih še posebno obnesejo skladbe Mozarta, Bacha pa tudi Haydna. Odločite se lahko seveda tudi za svojo najljubšo glasbo. ","Poskusite opisane zdravilne metode in zdravilne programe in poskusite ugotoviti, katera od njih vam najbolj ustreza. Lahko ""zdravljenje"" del vašega telesa ali organ, ki bo deloval nekaj tednov prej: položite roke na to ali pa pošljite svetlobo in energijo, da ga. Izberite glasbo, ki vas sprošča in si predstavljajte, kako ustvarja harmonijo v telesu. Po mojih izkušnjah, v takih primerih, pesmi Mozart, Bach in Haydn deluje še posebej dobro. Seveda, se lahko odločite tudi za svojo najljubšo glasbo.","<pad> Preizkušajte opisane zdravilne metode in zdravilna programiranja ter poskušajte ugotoviti, katera od njih"
9,/str. 70/,/ stran 70 /,<pad> /str. 70/</s>
10,Natančno preberite navodilo za vizualizacijo ali pa si besedilo posnemite na magnetofonski trak. Zaprite oči in začnite vajo. ,"Natančno preberite navodila za vizualizacijo ali si zabeležite besedilo na trak, zaprite oči in začnite z vajo.",<pad> Natančno preberite navodilo za vizualizacijo ali pa si besedilo posnemite na magnetofonski
11,/12/ želodec,/ 12 / želodec,<pad> /12/ želodec</s>
12,/str. 74/,/ stran 74 /,<pad> /str. 74/</s>
13,"Imunski sistem je eden najbolj povezanih in prepletenih organskih sistemov človeškega telesa. Možgani in žleze, koža in kostni mozeg, številni hormoni in drugi nevrotransmiterji morajo popolnoma usklajeno sodelovati z velikansko vojsko belih krvnih telesc, saj le tako lahko sovražnike odkrijejo, se proti njim bojujejo in jih največkrat tudi uničijo. Seveda pa jih morajo najprej prepoznati. To omogoča sistem visoko specializiranih celic, ki telo strogo nadzirajo. Vsaka telesna celica ima nekakšno izkaznico, določeno strukturo na zunanji celični membrani. Tako čuvaji prepoznajo, da celica spada k lastnemu moštvu. Vsaka tuja celica, ki prodre v telo, ima drugačen, tuj vzorec in tedaj je potrebna previdnost, v primeru dvoma celo največja pripravljenost. Protitelesa imunskega sistema v kubičnem centimetru krvi jih je približno bilijon lahko prepoznajo približno deset milijonov različnih vsiljivcev. ","Imunski sistem je eden izmed najbolj medsebojno povezanih in prepletenih organskih sistemov človeškega telesa. Možgani in žleze, koža in kostni mozeg, številni hormoni in drugi nevrotransmiterji morajo delovati v popolni harmoniji z obsežno vojsko belih krvnih celic, saj so le na ta način sposobni zaznati sovražnike, se z njimi boriti in jih najpogosteje uničiti. Seveda jih je treba najprej prepoznati. To omogoča sistem visoko specializiranih celic, ki tesno nadzorujejo telo. Vsaka telesna celica ima nekakšno identiteto, določeno strukturo na zunanji celični membrani. Tako, čuvaji priznavajo, da vsaka celica pripada svoji ekipi. Vsaka tuja celica, ki prodre v telo, ima drugačen tuji vzorec, potrebna pa je tudi previdnost, tudi ko obstaja dvom, največja pripravljenost imunskega sistema. Protitelesa so bila v kubičnem centimetru krvnega sistema.",<pad> Imunski sistem je eden najbolj povezanih in prepletenih organskih sistemov človeškega telesa. Možgani in
14,/5/ nadledvični žlezi,/ 5 / nadledvične žleze,<pad> / / / / / / / /</s>
15,"Z izrazom endokrini sistem označujemo vse hormonske žleze in njihovo součinkovanje. Delovanje posameznih žlez boste lažje razumeli, če se boste seznanili z njihovim opisom in njihovo tesno povezavo z imunskim sistemom. ","Izraz endokrini sistem se nanaša na vse hormonske žleze in njihovo interakcijo, in lahko bolje razumete funkcijo vsake žleze, če se seznanite z njihovim opisom in njihovo tesno povezavo z imunskim sistemom.",<pad> Z izrazom endokrini sistem označujemo vse hormonske žleze in njihovo součinkovanje.
16,"Hipotalamus (zgoraj) je del limbičnega sistema in daje napotke hipofizi (spodaj), da proizvaja hormone, ki spodbujajo ali zmanjšujejo dejavnost vseh drugih hormonskih žlez. ","Hipotalamus (zgoraj) je del limbičnega sistema in daje navodila hipofizi (spodaj), da proizvaja hormone, ki spodbujajo ali zmanjšujejo aktivnost vseh drugih hormonskih žlez.",<pad> Hipotalamus (zgoraj) je del limbičnega sistema in daje napotke hipo
17,"V komaj za grah veliki žlezi na spodnji strani velikih možganov po napotkih hipotalamusa nastajajo hormoni, ki spodbujajo ali zavirajo dejavnost vseh drugih hormonskih žlez. Hipofiza po natančnem voznem redu nadzoruje tudi življenjska obdobja. V pravem trenutku naroči podrejenim žlezam, da uravnavajo rast ter sprožijo puberteto, nosečnost ali menopavzo. ","V skladu z navodili hipotalamusa, le malo velika žleza na spodnji strani malih možganov proizvaja hormone, ki spodbujajo ali zavirajo delovanje vseh drugih hormonskih žlez. Hipofiza prav tako nadzoruje življenjske faze v skladu z natančnim časovnim razporedom.",<pad> V komaj za grah veliki žlezi na spodnji strani velikih možganov po napotkih hipotalamu
18,"Majhna, 2530 gramov težka, metuljasto oblikovana endokrina žleza, sestavljena iz dveh režnjev, leži pod kožo, tik pod Adamovim jabolkom, na sapniku in požiralniku, na desni in levi strani grla. Je največja čista hormonska žleza in služi kot skladišče joda. Izloča hormone T1 do T4. Hormona T3 (trijodotironin) in T4 (tiroksin) uravnavata energijsko presnovo, nastanek in razgradnjo beljakovin, maščob in ogljikovih hidratov ter celoten hormonski krogotok. Izločanje ščitničnih hormonov se uravnava v sodelovanju med hipofizo, hipotalamusom in ščitnico. ","Majhna, 2530 gramov težka, metulj v obliki endokrine žleze, sestavljena iz dveh lobes, leži pod kožo, tik pod Adamovo jabolko, na sapnik in požiralnik, na desni in levi strani grla. To je največja čista hormonska žleza in služi kot rezervoar joda. To izloča hormone T4 v T1. Hormon T3 (trijodotironin) in T4 (tiroksin uravnava presnovo energije, nastajanje in razgradnjo beljakovin, maščob in ogljikovih hidratov, in celoten hormonski krog.","<pad> Majhna, 2530 gramov težka, metuljasto oblikovana endokrina žleza, sestavljena"
19,/ob strani 77/,Na spletni strani 77,<pad> /ob strani 77/</s>
20,Priželjc (timus) ,"Timus (priželjc), tymus",<pad> Priželjc (timus)</s>
